CustomerID,Gender,Age,AnnualIncome_k$,SpendingScore,Region,MembershipYears
228,Female,69,84,46,South,9
229,Male,48,126,64,West,9
230,Male,27,18,2,West,1
231,Female,36,108,54,West,1
232,Female,49,89,65,West,0
233,Female,18,76,51,South,9
234,Female,22,108,53,West,7
235,Female,62,109,36,East,7
236,Female,21,69,26,West,0
237,Female,33,145,29,North,7
238,Female,41,45,21,West,8
239,Male,33,54,11,South,3
240,Female,19,50,40,North,0
241,Female,66,20,11,South,0
242,Male,45,80,36,South,2
243,Female,49,89,59,North,4
244,Male,44,18,39,South,4
245,Male,37,93,99,South,8
246,Female,41,148,54,West,9
247,Male,29,132,98,East,1
248,Male,67,127,55,South,1
249,Male,52,108,24,South,5
250,Male,50,76,22,South,8
251,Female,50,93,69,West,0
252,Male,68,40,56,East,8
253,Female,60,58,33,North,8
254,Male,54,147,36,West,8
255,Male,29,84,20,West,4
256,Male,20,132,83,East,8
257,Male,18,82,99,East,3
258,Female,50,33,81,West,1
259,Female,57,34,62,North,5
260,Male,27,127,98,West,3
261,Male,60,61,73,East,5
262,Female,61,15,26,North,2
263,Male,46,104,66,East,5
264,Male,30,78,73,North,1
265,Male,29,52,73,South,1
266,Female,48,51,40,East,8
267,Female,63,140,17,East,6
268,Female,19,114,1,West,2
269,Male,68,91,89,East,0
270,Male,67,17,61,East,7
271,Female,52,148,43,South,5
272,Female,40,24,42,East,6
273,Female,34,19,25,South,8
274,Female,43,144,39,South,4
275,Male,25,27,35,South,0
276,Female,46,144,3,South,9
277,Male,43,98,44,North,6
278,Female,27,79,51,West,4
279,Male,43,77,94,North,2
280,Female,51,115,98,East,8
281,Female,68,87,12,North,0
282,Female,58,31,19,North,0
283,Female,24,23,44,East,0
284,Male,21,52,59,East,2
285,Female,67,108,49,East,5
286,Male,62,109,61,North,9
287,Male,28,63,17,North,2
288,Male,46,83,74,East,7
289,Male,53,76,57,West,9
290,Female,42,92,55,West,1
291,Male,38,131,47,South,8
292,Male,53,134,12,East,2
293,Male,27,90,62,South,4
294,Female,54,49,80,West,9
295,Female,26,15,88,South,7
296,Female,41,54,83,East,1
297,Female,52,78,8,East,5
298,Male,66,74,95,East,4
299,Male,52,78,21,North,9
300,Female,65,107,81,South,8
301,Male,53,86,87,West,4
302,Male,35,25,80,West,1
303,Male,66,119,70,West,4
304,Female,56,28,72,North,3
305,Female,49,74,25,North,6
306,Male,41,44,82,East,5
307,Female,40,49,89,West,1
308,Female,49,19,12,North,4
309,Female,54,97,15,East,6
310,Female,29,137,59,West,6
311,Female,66,92,26,South,4
312,Male,30,76,26,East,8
313,Female,40,146,47,North,3
314,Male,42,103,32,North,2
315,Male,52,56,10,East,3
316,Female,58,103,16,East,4
317,Male,47,54,71,North,5
318,Male,34,86,17,South,2
319,Male,66,53,23,West,1
320,Female,37,118,26,South,3
321,Female,65,28,85,East,4
322,Male,42,46,86,South,3
323,Female,39,139,7,North,2
324,Female,30,111,14,East,7
325,Female,36,37,79,West,9
326,Female,66,77,7,North,3
327,Male,53,67,9,North,1
328,Male,29,118,48,West,1
329,Female,58,118,72,West,0
330,Female,36,53,59,South,3
331,Male,29,148,87,East,9
332,Male,26,81,93,West,8
333,Female,24,149,82,West,6
334,Male,45,56,95,East,9
335,Female,31,29,94,West,6
336,Female,48,125,39,West,6
337,Male,69,47,99,South,7
338,Male,36,52,18,North,0
339,Female,64,111,59,North,9
340,Female,33,47,17,North,9
341,Male,22,100,14,North,7
342,Female,52,80,31,West,3
343,Male,29,24,24,East,3
344,Female,42,19,99,East,3
345,Male,69,137,60,South,5
346,Male,38,88,45,South,6
347,Male,53,111,98,West,5
348,Female,40,132,3,East,0
349,Female,33,52,37,East,7
350,Male,56,61,43,North,9
351,Female,62,123,40,West,6
352,Male,59,29,90,West,5
353,Male,56,19,55,North,5
354,Female,31,61,87,West,4
355,Female,48,82,39,West,5
356,Male,22,90,15,South,8
357,Female,52,144,4,East,9
358,Female,40,109,93,West,8
359,Male,46,129,86,South,9
360,Male,60,50,25,East,7
361,Female,28,40,13,North,9
362,Male,35,57,82,South,8
363,Male,64,41,33,South,9
364,Female,29,83,16,East,7
365,Male,26,25,42,North,7
366,Male,27,88,66,South,0
367,Female,61,118,55,West,9
368,Female,34,52,99,West,4
369,Male,55,148,42,West,3
370,Male,24,37,34,North,1
371,Female,63,61,30,South,7
372,Female,30,104,13,West,2
373,Female,57,60,13,North,3
374,Female,59,121,18,West,6
375,Male,26,118,32,East,9
376,Female,67,125,96,South,8
377,Female,44,118,99,South,1
378,Male,19,74,39,North,2
379,Female,22,114,46,North,3
380,Male,46,82,29,South,9
381,Female,54,147,62,West,0
382,Female,55,134,93,West,6
383,Female,36,51,62,East,1
384,Male,25,86,57,West,4
385,Male,65,141,16,North,0
386,Female,62,120,56,North,2
387,Male,18,106,10,West,1
388,Male,39,45,30,North,0
389,Male,69,136,25,South,6
390,Male,34,65,84,South,4
391,Male,24,43,5,West,0
392,Male,42,54,65,South,5
393,Female,62,55,94,South,4
394,Female,21,25,49,East,2
395,Male,53,15,3,East,6
396,Female,23,60,45,South,9
397,Female,48,115,14,West,8
398,Female,36,104,30,East,8
399,Female,61,124,68,North,8
400,Male,56,71,18,North,1
